molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g)
0,[Li]n1c(=O)c(=O)n([Li])c2cc(Cl)ccc21,2.827893570285687,2.678394897232976,4.531021299681706,0.05555555555555555,257.1782034410177
1,[Li]n1c(=S)c(=S)n([Li])c2ccccc21,3.1768141021740055,3.030983703353712,3.774210074103383,0.1111111111111111,260.05874902309534
2,[Li]n1c(=S)n([Li])c2cc(OCC)ccc21,2.595608281326295,2.357382243943966,4.294637862361755,0.08695652173913043,260.09029041169725
3,[Li]n1c(=S)n([Li])c2cc(C(=O)O)ccc21,2.8310697188733798,2.4357990477625524,4.503910498522529,0.10526315789473684,260.14582184243625
6,[Li]n1c(=O)c(=O)n([Li])c2cc(OC)ccc21,2.9202487224634575,2.8719662128709382,4.4233617857693694,0.09090909090909091,262.74804504563366
8,[Li]n1c(=O)c(=O)n([Li])c2cc(C)c(C)cc21,2.9614253171111082,2.7507701866938654,4.385875245892375,0.08333333333333333,265.31222712706165
10,[Li]n1c(=S)n([Li])c2cc(Cl)ccc21,2.8846937143812776,2.558145615849425,4.418443310097299,0.0625,272.8064804119293
11,[Li]n1c(=O)n([Li])c2cc3ccccc3cc21,2.844378006416986,2.838327143116313,4.475796954188887,0.09090909090909091,273.43679161452945
14,[Li]n1c(=S)n([Li])c2cc(OC)ccc21,2.8645816284547045,2.8479972793220387,4.291109893505965,0.1,279.0820888875006
16,[Li]n1c(=S)n([Li])c2cc(C)c(C)cc21,3.082991772794115,2.474616406956259,4.266367851995197,0.09090909090909091,281.976747583766
17,[Li]n1c(=O)n([Li])c2cc(C(=O)O)ccc21,2.6305015811509285,2.5355119258287795,4.372733459865239,0.10526315789473684,282.1444380706115
22,[Li]n1c(=O)c(=O)n([Li])c2cc(C)ccc21,2.8034326355628654,2.726902709450357,4.440121338549972,0.09523809523809523,285.1033078483474
24,[Li]n1c(=O)n([Li])c2cc(Cl)ccc21,2.7760969721285536,2.6645714187704312,4.267585565892436,0.0625,297.09841069283345
25,[Li]n1c(=S)n([Li])c2cc(C)ccc21,2.8611971664235476,2.497786702859572,4.316383919520288,0.10526315789473684,304.4373398549174
26,[Li]n1c(=S)n([Li])c2c(C)cccc21,2.806088093084736,2.439526551024345,4.337855140694028,0.10526315789473684,304.4373398549174
27,[Li]n1c(=O)n([Li])c2cc(OC)ccc21,2.7415018839711287,2.9540743804501277,4.120194564698343,0.1,304.55667278936033
30,[Li]n1c(=O)c(=O)n([Li])c2ccccc21,3.055205898182952,3.1308602991411747,4.5084112779186825,0.1111111111111111,308.08504551996447
31,[Li]n1c(=S)n([Li])c2ccccc21,3.318259905191943,3.1687309704135354,4.370664026533135,0.125,330.7857687392708
33,[Li]n1c(=O)n([Li])c2cc(C)ccc21,2.724096205752748,2.8029979630489095,4.130058727522197,0.10526315789473684,335.0045373153395
36,[Li]n1c(=O)c(=O)n([Li])c2cc(F)c(F)cc21,3.037250938488228,2.747322283920656,4.50738404440961,0.2222222222222222,255.2982995281347
40,[Li]n1c(=O)n([Li])c2cc(C(C)=O)ccc21,2.7331633890031055,2.6976868981140507,4.358357633051645,0.09523809523809523,285.10330784834747
41,[Li]n1c(=O)n([Li])c2cc(C)c(C)cc21,2.827784165626159,2.5783399493376473,4.0781950002571214,0.09090909090909091,308.00716491693055
47,[Li]n1c(=O)n([Li])c2cc(C(=O)OC)ccc21,2.8471989491401124,2.7759377878837097,4.36116721873686,0.09090909090909091,262.7480450456337
49,[Li]n1c(=S)n([Li])c2cc(F)c(F)cc21,2.931477928389646,2.643705582611174,4.37069531973941,0.25,270.6920965762078
57,[Li]n1c(=O)c(=O)n([Li])c2cc(O)c(O)cc21,2.5917741530426595,2.5880816745712902,4.278176275328383,0.1,260.23295298871477
60,[Li]n1c(=O)c(=S)n([Li])c2ccccc21,2.9182975275405285,2.8347485930440737,4.5808591319882535,0.1111111111111111,282.0420192922586
62,[Li]n1c(=O)n([Li])c2c(O)cccc21,2.6806386252223815,2.353353509346605,4.195509148570814,0.11764705882352941,330.9266563650741
67,[Li]N1C(=S)CC(C)N([Li])c2ccccc21,2.3394633566665988,2.2469027654391835,3.552460972689507,0.08,262.6026123109192
68,[Li]N1C(=O)C(C(=O)O)N([Li])c2ccccc21,2.5865766597332254,2.7117639598889403,3.759672338965108,0.09090909090909091,262.74804504563366
69,[Li]N1CC(=O)N([Li])c2cc(C(=O)O)ccc21,2.5064196606166784,2.0010561346026057,3.582596330258213,0.09090909090909091,262.7480450456337
70,[Li]N1CC(=O)N([Li])c2ccc(C(=O)O)cc21,2.593656105613383,1.9779112752633257,3.4729218059778426,0.09090909090909091,262.7480450456337
71,[Li]n1c(=O)n([Li])c2cc(CC(=O)O)ccc21,2.4206775402707397,2.6308470508687583,4.200577287401035,0.09090909090909091,262.7480450456337
75,[Li]n1c(CCC(=O)[O-])[n+]([Li])c2ccccc21,2.628925396175454,2.477142853319972,4.175510068662552,0.08333333333333333,265.31222712706165
77,[Li]n1c(=O)n([Li])c2cc(Cl)c(F)cc21,2.761914388399357,2.1910150189725166,4.274671436236575,0.125,270.1641870353666
88,[Li]n1c(=O)n([Li])c2c(Cl)cccc21,2.808431714733832,2.509637553376078,4.318615261180167,0.0625,297.09841069283345
91,[Li]n1c(=O)n([Li])c2cc(O)c(O)cc21,2.588888863529311,2.569661614293132,3.930778148156254,0.1111111111111111,301.18263340361966
97,[Li]n1c(=O)n([Li])c2c(C)c(C)ccc21,2.543073792893098,2.1711997045460807,4.1013138767689945,0.09090909090909091,308.00716491693055
98,[Li]n1c(=O)n([Li])c2cc(C=O)ccc21,2.577800798688382,2.5922327586655727,4.364425793904264,0.1111111111111111,308.0850455199645
99,[Li]n1c(=O)n([Li])c2c(C=O)cccc21,2.5304423134969602,2.4211228341119724,4.523546305125132,0.1111111111111111,308.0850455199645
101,[Li]n1c(=O)n([Li])c2cc(F)ccc21,2.712067112964518,2.7196878526757207,4.218951841736693,0.1875,326.9089790547892
106,[Li]N1C(=O)C[C@@H](CO)N([Li])c2ccccc21,2.4667410294568892,2.5595177452057145,3.623718324350062,0.07692307692307693,262.69139722423654
108,[Li]n1c(=S)n([Li])c2c(Cl)cccc21,2.73632382670258,2.5790722715963,4.460554441621824,0.0625,272.8064804119293
109,[Li]n1c(=O)n([Li])c2c3ccccc3ccc21,2.2400848928236767,1.9750811761760874,3.972995404467676,0.09090909090909091,273.43679161452945
112,[Li]n1c(=O)n([Li])c2cc(O)ccc21,2.62645042223515,2.6330213789712946,4.078030370783463,0.11764705882352941,330.9266563650741
120,[Li]n1c(=S)n([Li])c2cc(F)ccc21,2.765055658517123,2.64134804559799,4.371525269988647,0.1875,297.73695233370233
121,[Li]n1c(=S)n([Li])c2c(F)cccc21,2.8040879475922753,2.4265296207988696,4.44531328962848,0.1875,297.73695233370233
130,[Li]N1C(=O)CC(C)N([Li])c2cc(C)ccc21,2.298298076157473,1.9367102101783802,3.363621439602133,0.07142857142857142,265.25446836957275
135,[Li]n1c(=S)n([Li])c2c(OC)cccc21,2.7460814778391676,2.348981151785643,4.344218546146447,0.1,279.0820888875006
138,[Li]N1CC(=O)N([Li])c2c(OC)cccc21,2.552507331688968,2.1713626665936574,3.3941744934467564,0.08695652173913043,282.07911895437206
141,[Li]N1CN([Li])c2c1ccc1ccccc21,2.073129826413876,1.5074869806153082,2.1333752974547138,0.08695652173913043,294.4355045892273
142,[Li]n1c(=S)n([Li])c2c(O)cccc21,2.761860478082295,2.3572353052406183,4.351010532466049,0.11764705882352941,301.0659293827243
150,[Li]n1ccc2ccc3ccn([Li])c3c21,2.688389753845081,2.409061803370913,3.7905247191275815,0.1,319.01121729391207
151,[2H]c1c([2H])c([2H])c2c(c1[2H])n([Li])c(=S)n2[Li],2.751658992981117,2.744813924532966,4.376507692645433,0.125,322.77104630541925
164,[Li]N1CCN([Li])c2cc(C(=O)OC)ccc21,2.6792162471159884,2.5239477037484015,2.710480524434731,0.07692307692307693,262.69139722423654
168,[Li]n1c(=O)c(=O)n([Li])c2cc(CC)ccc21,2.383651424629101,2.620170291573747,4.450249452763485,0.08333333333333333,265.31222712706165
174,[Li]n1c(=O)n([Li])c2c(O)c(O)ccc21,1.9697636233793374,2.3045366478876455,4.115062478881859,0.1111111111111111,301.18263340361966
184,[Li]n1c(=S)n([Li])c2cc(OC)c(F)cc21,2.7565047997632557,2.2261047627551025,4.219081096282933,0.15000000000000002,255.18407101362814
186,[Li]N1C(=O)C(F)C(=O)N([Li])c2ccccc21,2.5563360841093634,2.6670198223572052,4.401324565735276,0.14285714285714285,260.2089545316535
187,[Li]n1c(=S)n([Li])c2c(F)cc(F)cc21,2.541619421189524,2.432754445865757,4.441777157328852,0.25,270.6920965762078
188,[Li]n1c(=S)n([Li])c2cc(F)c(C)cc21,2.735036466669313,2.2660593339171404,4.317894156863707,0.15789473684210525,276.2192144382788
192,[Li]n1c(=O)n([Li])c2cc(F)c(F)cc21,2.9340073352465836,2.597418722788639,4.214460586361186,0.25,294.5924428032745
193,[Li]n1c(=S)n([Li])c2cc(O)ccc21,2.7678815270441426,2.531414823898057,4.251458680104332,0.11764705882352941,301.0659293827243
197,[Li]n1c(=O)n([Li])c2c(CC(F)F)cccc21,2.0673124821090507,1.8580880664183015,4.224664892727489,0.18181818181818182,255.24481813343826
198,[Li]n1c(=O)n([Li])c2cc(CC(F)F)ccc21,1.9876024746369936,2.072299098454338,4.205569234076922,0.18181818181818182,255.24481813343826
201,[Li]n1c(=O)n([Li])c2cc(CCF)ccc21,1.9053042198797492,2.0002953410127153,4.190457336631361,0.13636363636363635,279.1547483499495
204,[Li]n1c(=O)n([Li])c2c(F)cc(F)cc21,2.4638354438650474,2.389141325552571,4.196582641601667,0.25,294.5924428032745
205,[Li]n1c(=O)n([Li])c2c(CF)cccc21,2.1665877674156517,1.792686147871187,4.264539240295729,0.15789473684210525,301.15048848793737
206,[Li]n1c(=O)n([Li])c2c(F)cccc21,2.5318152624938,2.3857060432661625,4.182912952790572,0.1875,326.9089790547892
207,[Li]n1c(=S)n([Li])c2cc(OCF)ccc21,1.9963284399627246,1.9269847295998095,4.293576614500527,0.15000000000000002,255.18407101362814
210,[Li]n1c(=S)n([Li])c2c(F)c(F)ccc21,2.5984121084142586,2.498103823865513,4.4590074687757255,0.25,270.6920965762078
214,[Li]N(C=O)c1cc(F)cc2c1N([Li])C(=O)C2,2.0705650450076356,1.754046937735036,4.0050505322056935,0.14285714285714285,260.2089545316535
215,[Li]n1c(=O)c(=O)n([Li])c2cc(F)c(C)cc21,2.842496442924854,2.3050877891288044,4.449484810072676,0.14285714285714285,260.2089545316535
217,[Li]n1c(=O)n([Li])c2c(F)c(COC)ccc21,1.8694615618513644,1.803330742868436,4.1660404723544975,0.13043478260869565,257.68749903200285
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,2.2415930800000217,1.957595252089269,4.186664055811422,0.15789473684210525,301.1504884879374
233,[Li]n1c(=O)n([Li])c2cc(CF)ccc21,2.1188023000536234,2.11954090422277,4.217916444783784,0.15789473684210525,301.1504884879374
236,[Li]N1CCC(=S)N([Li])c2c(F)cccc21,2.163407288494613,2.0660316472950457,3.6428820117111314,0.13636363636363635,257.602063806296
238,[Li]n1c(=O)n([Li])c2c(F)c(OC)c(C)cc21,1.9550311372448452,1.8366294937574645,4.007260104676853,0.13043478260869565,257.68749903200285
244,[Li]n1c(=O)n([Li])c2c(F)c(F)ccc21,2.54929273089412,2.396916220137713,4.205570594650634,0.25,294.5924428032745
249,[Li]N(O)c1ccc(F)c2c1N([Li])[C@H](C)CO2,1.7524476695736362,1.7120242025891041,3.851520620302599,0.12,255.2144409587176
250,[Li]n1c(=O)n([Li])c2cc(C(C)C)c(F)cc21,2.342678072322344,2.058709710418868,4.152632013783313,0.12,260.15339614757295
251,[Li]n1c(=O)n([Li])c2cc(C(=C)C)c(F)cc21,2.5208556783536595,2.1049085009225257,4.208090378037099,0.13043478260869565,262.7235804895207
254,[Li]N(O)c1ccc(F)c2c1N([Li])CCO2,2.061678663495252,1.642381214177643,2.866522056277359,0.13636363636363635,273.4758468399227
256,[Li]n1c(=O)n([Li])c2cc(F)c(C)cc21,2.687510291225812,2.294012439556031,4.146814198580881,0.15789473684210525,301.15048848793737
257,[Li]n1c2cc(F)c(C)c(F)c2n1[Li],2.4002632527130086,1.9310526514233168,2.898879231485299,0.23529411764705882,319.1118571384164
259,[Li]N1CC(=O)N([Li])c2cc(OC)c(F)cc21,2.297115611127671,2.3233104622230165,3.217491690674987,0.13043478260869565,257.6874990320029
260,[Li]n1c(=O)n([Li])c2cc(C(=O)O)c(F)cc21,2.828025243089146,2.3882829500658502,4.399120435558979,0.15789473684210525,257.7420090629035
261,[Li]N1CCC(=O)N([Li])c2c(F)cc(C)cc21,1.7842596015838916,1.6784142744185528,3.4000181595575065,0.12,260.15339614757295
268,[Li]N(O)c1ccc(F)c2c1N([Li])C(C)CO2,1.9791486367972362,1.6137271982002823,3.648853571797501,0.12,255.2144409587176
274,[Li]n1c(=O)n([Li])c2c(F)cc(C(C)C)cc21,2.1876788857874985,1.7989193226717473,4.121884397834018,0.12,260.15339614757295
276,[Li]n1c(=O)n([Li])c2c(F)cc(S)cc21,2.131388435497124,2.163873399529919,4.150114951547373,0.1764705882352941,273.4409755693947
279,[Li]n1c(=S)n([Li])c2c(F)ccc(C)c21,2.8176440776029716,2.7252643428328955,4.30754699020628,0.15789473684210525,276.2192144382788
283,[Li]n1c(=O)n([Li])c2c(F)cc(C)cc21,2.300943481686697,2.2006812247457015,4.121980998600272,0.15789473684210525,301.15048848793737
284,[Li]n1c(=O)n([Li])c2c(C)cc(F)cc21,2.05814320511504,2.1915719192390704,4.165806453595078,0.15789473684210525,301.1504884879374
285,[Li]n1c(=O)n([Li])c2c(F)cc(SC)cc21,2.2192587139016346,2.1499164013876295,4.122360598796698,0.15000000000000002,255.18407101362808
290,[Li]n1c(=S)n([Li])c2c(OCF)cccc21,2.1032448928951384,2.240757357008378,4.359705962065743,0.15000000000000002,255.18407101362814
310,[Li]N1c2cccc(F)c2N([Li])S1(=O)=O,2.8296267984202617,2.120400131544101,3.971909666268748,0.1764705882352941,267.98989803053803
315,[Li]N(C)c1ccc(C(=O)OC)cc1N([Li])F,2.9571978955263187,2.787754646653191,3.3755944924074286,0.12,255.21444095871763
319,[Li]N1C(=O)C(C(F)F)N([Li])c2ccccc21,2.249782058028642,2.2862575509005882,3.6580292840856576,0.18181818181818182,255.24481813343826
334,[Li]n1c(=O)n([Li])c2cc3c(cc21)OCCO3,2.601119500711034,2.466421971606593,4.0100179885469736,0.09090909090909091,262.7480450456337
335,[Li]n1c(=S)n([Li])c2c(C)c(C)ccc21,2.6329319168689738,2.09840842535935,4.301246171166408,0.09090909090909091,281.976747583766
337,[Li]n1c(S(=O)(=O)[O-])[n+]([Li])c2ccccc21,3.5648815866376786,2.5776159805704375,5.882800730684057,0.10526315789473684,255.2071515126511
339,[Li]N1C(=O)CC(C)N([Li])c2cc(O)ccc21,2.1913594567119308,1.9807742870429688,3.355278398713739,0.07692307692307693,262.69139722423654
341,[Li]N1C(=O)CC(C)N([Li])c2c(C)cccc21,1.9678969093761194,1.8747265111080504,3.403395104679884,0.07142857142857142,265.25446836957275
342,[Li]n1c(=O)n([Li])c2cc(C(C)=O)c(C)cc21,2.536622691455689,2.3696797452336287,4.270347531480608,0.08333333333333333,265.31222712706165
346,[Li]n1c(=S)n([Li])c2c(C)cc(C)cc21,2.4632457804449066,2.0637103604863576,4.27001010908327,0.09090909090909091,281.976747583766
348,[Li]n1c(CC(=O)[O-])[n+]([Li])c2ccccc21,2.8733343025279234,2.5983651114585706,4.553636763745775,0.09523809523809523,285.10330784834747
358,[Li]N(O)c1cc2c(cc1N([Li])O)CCCC2,2.387732855462123,2.4885651661579677,2.456893987146849,0.07142857142857142,260.1218394522615
365,[Li]N1C(=O)CCC(=O)N([Li])c2ccccc21,3.174988271310797,3.4143000406749637,4.10364181919358,0.08333333333333333,265.31222712706165
373,[Li]N1ON([Li])c2c1ccc1ccccc21,2.570235104305933,2.839265541036259,1.845215209617612,0.09523809523809523,291.28083275529934
378,[2H]c1cccc2c1n([Li])c(=S)n2[Li],1.9086945308406684,2.1087561901317375,4.380472405813791,0.125,328.7450033241894
398,[Li]N1CCN([Li])c2c(OC)ccc(OC)c21,3.1472929830515968,3.077035151620891,2.9778605627804464,0.07142857142857142,260.1218394522615
407,[Li]N1C(=O)CC(=O)N([Li])c2cc(F)ccc21,3.079577773123241,2.7647502387942806,4.309601457221332,0.14285714285714285,260.2089545316535
410,[Li]N1CCC(C)N([Li])c2c1ccc(F)c2F,1.9536816537550457,1.7703281220643974,2.7274523267844857,0.15384615384615385,255.1913591412453
412,[Li]N1CCC(=O)N([Li])c2ccc(F)c(F)c21,1.9437382061385127,1.8222272533134594,3.6679097737979593,0.18181818181818182,255.24481813343826
413,[Li]N1C(=O)C(C)N([Li])c2c1ccc(F)c2F,2.11777337318828,1.6078335988455676,3.673802420582561,0.18181818181818182,255.24481813343826
414,[Li]N1CCCN([Li])c2cc(OC)c(F)cc21,2.438990882797902,2.2006799561482033,2.4058221140584823,0.1111111111111111,257.63301205295323
434,[Li]N1C(=O)CC(C)N([Li])c2cccc(F)c21,2.1486341572645253,1.8136777761603717,3.455748638648656,0.12,260.15339614757295
435,[Li]N1C(=O)CC(C)N([Li])c2cc(F)ccc21,2.1490646086279304,1.962438813159888,3.4266677260726035,0.12,260.15339614757295
436,[Li]N1CC(C)C(=O)N([Li])c2c(F)cccc21,2.0502894069312583,1.820201280085684,4.294637862361755,0.12,260.15339614757295
437,[Li]N1C(=O)CC(C)N([Li])c2ccc(F)cc21,2.1558535274133526,2.096814944923879,3.3633751756730894,0.12,260.15339614757295
439,[Li]N1C(=O)C(CC)N([Li])c2cccc(F)c21,1.9848200464625378,1.7913952140528862,3.4329767085547656,0.12,260.15339614757295
480,[Li]N1CCC(=O)N([Li])c2cc(F)c(F)cc21,2.5096060075929056,2.4912647964055545,3.392271050163572,0.18181818181818182,255.24481813343826
481,[Li]N1C(=O)[C@H](C)N([Li])c2c1ccc(F)c2F,2.018883579827447,1.8649881599705926,3.6651273995963263,0.18181818181818182,255.24481813343826
482,[Li]N1C(=O)C(C)N([Li])c2cc(F)cc(F)c21,2.2577101744013417,2.0304006353427875,3.481075727056428,0.18181818181818182,255.24481813343826
483,[Li]N1C(=O)C(C)N([Li])c2c(F)cc(F)cc21,2.229395043639217,1.6606231568620116,3.588933884800765,0.18181818181818182,255.24481813343826
484,[Li]N1CCC(=O)N([Li])c2c(F)cc(F)cc21,2.0430644413576156,1.8151668809463462,3.466516222727883,0.18181818181818182,255.24481813343826
485,[Li]N1CCC(=O)N([Li])c2cc(F)cc(F)c21,2.1420241669939353,2.184053354229217,3.589022322123179,0.18181818181818182,255.24481813343826
489,[Li]N1C(=O)CC(C)N([Li])c2c(F)cccc21,1.9322270836487596,1.7814779202272577,3.629281712182707,0.12,260.15339614757295
490,[Li]N1CC(C)C(=O)N([Li])c2cccc(F)c21,2.020971162891346,1.7855506699002697,3.655327183757961,0.12,260.15339614757295
492,[Li]N1C(=O)C(CC)N([Li])c2c(F)cccc21,1.9833026980591941,1.632644338301,3.631553871067958,0.12,260.15339614757295
493,[Li]N1CC(=O)N([Li])c2c(F)cc(F)cc21,2.6309882648786873,1.907992970592626,3.4388884033791105,0.21052631578947367,273.51072700568386
494,[Li]N1CC(=O)N([Li])c2cc(F)cc(F)c21,2.697631195766706,2.5295288953200608,3.5453302034003964,0.21052631578947367,273.5107270056839
501,[Li]N1C(=O)[C@H](CO)N([Li])c2cc(F)ccc21,2.2594498737274624,1.905467245448306,3.738701809090197,0.13043478260869565,257.68749903200285
502,[Li]n1c(=O)n([Li])c2c(F)cc(C(=O)O)cc21,2.31325000860533,2.0217306257589858,4.347554674043451,0.15789473684210525,257.74200906290343
505,[Li]N1CC(=O)N([Li])c2c1ccc(F)c2F,2.2728050291670883,2.1289615566073703,3.3654731810624905,0.21052631578947367,273.5107270056839
506,[Li]n1c(=O)n([Li])c2cc(C(F)F)ccc21,2.267148836443309,1.8121970621819985,4.302862533295176,0.21052631578947367,273.5107270056839
507,[Li]n1c(=O)n([Li])c2cc(OC)c(F)cc21,2.822111514198471,2.3099941133176802,4.042350673420309,0.15000000000000002,276.3174472276626
525,[Li]N1CC(OC)CN([Li])c2c(F)cccc21,2.224218057848285,2.341812729496072,2.7725131831363723,0.1111111111111111,257.6330120529532
540,[Li]N1CCC(C)N([Li])c2cc(F)cc(F)c21,1.742981689669254,1.8016409642572504,2.7386022322106647,0.15384615384615385,255.1913591412453
541,[Li]N1CC(C)CN([Li])c2c(F)cc(F)cc21,1.8199209227329254,1.605605664785291,2.735626656474983,0.15384615384615385,255.1913591412453
545,[Li]N1CC(C)N([Li])c2cc(F)cc(F)c21,1.762017855936398,2.1245273363876143,2.8106936158462443,0.17391304347826086,273.44934386325826
547,[Li]n1c(=O)n([Li])c2cc(C(C)(F)F)ccc21,2.244241680701129,2.057842231410355,4.270714886510508,0.18181818181818182,255.24481813343826
548,[Li]n1c(=O)c(=O)n([Li])c2cc(CF)ccc21,2.2177121752796287,2.022313425182257,4.497534847903582,0.14285714285714285,260.2089545316535
555,[Li]n1c(=S)n([Li])c2c(OC)c(F)ccc21,2.297485533166972,2.228513131936588,4.367190480641414,0.15000000000000002,255.18407101362814
558,[Li]n1c(=S)n([Li])c2c(F)c(OC)ccc21,2.398911217406172,2.3782347130503503,4.378820668756058,0.15000000000000002,255.18407101362814
559,[Li]n1c(=S)n([Li])c2c(F)cc(OC)cc21,2.3607981557312465,2.4694087508192353,4.295829725346033,0.15000000000000002,255.18407101362814
560,[Li]n1c(=S)n([Li])c2cc(CO)c(F)cc21,2.705114731835802,2.6102626229898744,4.368179618074091,0.15000000000000002,255.18407101362814
564,[Li]n1c(=S)n([Li])c2cc(CC)c(F)cc21,2.4138027650893603,2.152867392957586,4.32269698372669,0.13636363636363635,257.602063806296
568,[Li]N1C(=O)C(CO)N([Li])c2cc(F)ccc21,2.2065841127164205,2.0339300112868974,3.740922266155715,0.13043478260869565,257.68749903200285
574,[Li]n1c(=O)n([Li])c2c(F)c(Cl)ccc21,2.3583791175707627,2.0386972108197403,4.238167230914403,0.125,270.1641870353666
578,[Li]n1c(=S)n([Li])c2c(F)cc(C)cc21,2.331799287209539,2.3298086344368487,4.293392936984031,0.15789473684210525,276.2192144382788
579,[Li]n1c(=S)n([Li])c2c(C)c(F)ccc21,2.2671958741239373,1.9165214627617475,4.339234762915947,0.15789473684210525,276.2192144382788
580,[Li]n1c(=S)n([Li])c2c(C)cc(F)cc21,2.27864416454939,2.0455260149758927,4.320853405710167,0.15789473684210525,276.2192144382788
581,[Li]n1c(=S)n([Li])c2c(F)c(C)ccc21,2.5168261100821008,2.232742423424912,4.382439796081691,0.15789473684210525,276.2192144382788
